,Courses,Classes
142," ANTH 8998 Non-Topical Research, Preparation for Research
","11276 024IND (1 - 12)Open0 / 30Kath WestonTBATBA
"
143," ANTH 8998 Non-Topical Research, Preparation for Research
","11957 026IND (1 - 12)Open0 / 30Jim IgoeTBATBA
"
144," ANTH 8998 Non-Topical Research, Preparation for Research
","11958 027IND (1 - 12)Open0 / 30Fraser NeimanTBATBA
"
145," ANTH 8998 Non-Topical Research, Preparation for Research
","11959 028IND (1 - 12)Open0 / 30China ScherzTBATBA
"
146," ANTH 8998 Non-Topical Research, Preparation for Research
","11960 029IND (1 - 12)Open0 / 30Margo SmithTBATBA
"
147," ANTH 8999 Non-Topical Research
","11244 004IND (1 - 12)Open0 / 30Frederick DamonTBATBA
"
148," ANTH 8999 Non-Topical Research
","11245 005IND (1 - 12)Open 0 / 30Eve DanzigerTBATBA
"
149," ANTH 8999 Non-Topical Research
","11246 006IND (1 - 12)Open0 / 30Lise DobrinTBATBA
"
150," ANTH 8999 Non-Topical Research
","11248 008IND (1 - 12)Open1 / 30Gertrude FraserTBATBA
"
151," ANTH 8999 Non-Topical Research
","11249 009IND (1 - 12)Open 0 / 30Richard HandlerTBATBA
"
152," ANTH 8999 Non-Topical Research
","11252 012IND (1 - 12)Open 1 / 30Adria LaVioletteTBATBA
"
153," ANTH 8999 Non-Topical Research
","11253 013IND (1 - 12)Open0 / 30Daniel LefkowitzTBATBA
"
154," ANTH 8999 Non-Topical Research
","11254 016IND (1 - 12)Open0 / 30George MentoreTBATBA
"
155," ANTH 8999 Non-Topical Research
","11255 017IND (1 - 12)Open0 / 30Rachel MostTBATBA
"
156," ANTH 8999 Non-Topical Research
","11257 020IND (1 - 12)Open0 / 30John ShepherdTBATBA
"
157," ANTH 8999 Non-Topical Research
","11258 023IND (1 - 12)Open0 / 30Patricia WattenmakerTBATBA
"
158," ANTH 8999 Non-Topical Research
","11259 024IND (1 - 12)Open0 / 30Kath WestonTBATBA
"
159," ANTH 8999 Non-Topical Research
","11961 025IND (1 - 12)Open0 / 30Jim IgoeTBATBA
"
160," ANTH 8999 Non-Topical Research
","11962 026IND (1 - 12)Open0 / 30Fraser NeimanTBATBA
"
161," ANTH 8999 Non-Topical Research
","11963 027IND (1 - 12)Open1 / 30China ScherzTBATBA
"
162," ANTH 8999 Non-Topical Research
","11964 028IND (1 - 12)Open0 / 30Margo SmithTBATBA
"
163," ANTH 9010 Directed Readings
","19991 002IND (1 - 12)Open1 / 20Ira BashkowTBATBA
"
164," ANTH 9010 Directed Readings
","20593 003IND (1 - 12)Open1 / 20China ScherzTBATBA
"
165," ANTH 9010 Directed Readings
","11277 012IND (1 - 12)Open 2 / 20Adria LaVioletteTBATBA
"
