,Department,Course_Num,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Meeting_Time,Meeting_Dates,Professor
196,ANTH,9999,11300,004,IND,1 - 12,30,TBA,TBA,,Frederick Damon
197,ANTH,9999,11301,005,IND,1 - 12,30,TBA,TBA,,Eve Danziger
198,ANTH,9999,11302,006,IND,1 - 12,30,TBA,TBA,,Lise Dobrin
199,ANTH,9999,11304,008,IND,1 - 12,30,TBA,TBA,,Gertrude Fraser
200,ANTH,9999,11305,009,IND,1 - 12,30,TBA,TBA,,Richard Handler
201,ANTH,9999,11307,011,IND,1 - 12,30,TBA,TBA,,Ravindra Khare
202,ANTH,9999,11308,012,IND,1 - 12,30,TBA,TBA,,Adria LaViolette
203,ANTH,9999,11309,013,IND,1 - 12,30,TBA,TBA,,Daniel Lefkowitz
204,ANTH,9999,11310,016,IND,1 - 12,30,TBA,TBA,,George Mentore
205,ANTH,9999,11312,020,IND,1 - 12,30,TBA,TBA,,John Shepherd
206,ANTH,9999,11313,023,IND,1 - 12,30,TBA,TBA,,Patricia Wattenmaker
207,ANTH,9999,11314,024,IND,1 - 12,30,TBA,TBA,,Kath Weston
208,ANTH,9999,11955,026,IND,1 - 12,30,TBA,TBA,,Jim Igoe
209,ANTH,9999,11956,027,IND,1 - 12,30,TBA,TBA,,China Scherz
210,ANTH,9999,11970,028,IND,1 - 12,30,TBA,TBA,,Rachel Most
211,ANTH,9999,11971,029,IND,1 - 12,30,TBA,TBA,,Fraser Neiman
212,SWAH,1020,12743,001,Lecture,3,16,Brooks Hall 103, 10:00am - 10:50am,MoWeFr,Anne Rotich
213,SWAH,1020,12129,002,Lecture,3,16,Brooks Hall 103, 11:00am - 11:50am,MoWeFr,Anne Rotich
214,SWAH,2020,12397,001,SEM,3,16,Brooks Hall 103, 12:00pm - 12:50pm,MoWeFr,Anne Rotich
215,ARAD,1550,13336,001,Lecture,1,15,Fayerweather Hall 215, 4:00pm - 5:30pm,Mo,George Sampson+1
216,ARAD,3550,11621,001,Lecture,3,60,pbell Hall 160, 3:30pm - 4:45pmCam,TuTh,George Sampson
217,ARAD,4200,11673,001,SEM,3,12,Fayerweather Hall 208, 11:00am - 12:15pm,TuTh,George Sampson
218,ARAH,5559,20028,001,Lecture,3 - 4,6,Clemons Library 320, 1:00pm - 3:30pm,Mo,Anastasia Dakouri-Hild
219,ARAH,8695,13745,001,IND,3 - 12,30,TBA,TBA,,Foteini Kondyli
220,ARAH,8695,13746,002,IND,3 - 12,30,TBA,TBA,,Amanda Phillips
221,ARAH,8695,20265,005,IND,3 - 12,30,TBA,TBA,,Lisa Reilly
222,ARAH,8695,11225,023,IND,3 - 12,30,TBA,TBA,,Tyler Jo Smith
223,ARAH,8998,18575,001,IND,1 - 12,30,TBA,TBA,,Sarah Betzer
224,ARAH,8998,18576,002,IND,1 - 12,30,TBA,TBA,,Sheila Crane
225,ARAH,8998,18577,003,IND,1 - 12,30,TBA,TBA,,Anastasia Dakouri-Hild
226,ARAH,8998,11226,004,IND,1 - 12,30,TBA,TBA,,John Dobbins
227,ARAH,8998,18578,005,IND,1 - 12,30,TBA,TBA,,Daniel Ehnbom
228,ARAH,8998,18579,006,IND,1 - 12,30,TBA,TBA,,Francesca Fiorani
229,ARAH,8998,11227,007,IND,1 - 12,30,TBA,TBA,,Sheila Crane
230,ARAH,8998,11228,008,IND,1 - 12,30,TBA,TBA,,Anastasia Dakouri-Hild
231,ARAH,8998,11229,009,IND,1 - 12,30,TBA,TBA,,John Dobbins
232,ARAH,8998,11230,010,IND,1 - 12,30,TBA,TBA,,Daniel Ehnbom
233,ARAH,8998,11231,011,IND,1 - 12,30,TBA,TBA,,Francesca Fiorani
234,ARAH,8998,11232,012,IND,1 - 12,30,TBA,TBA,,Douglas Fordham
235,ARAH,8998,11233,014,IND,1 - 12,30,TBA,TBA,,Lawrence Goedde
236,ARAH,8998,11234,015,IND,1 - 12,30,TBA,TBA,,Carmenita Higginbotham
237,ARAH,8998,11235,016,IND,1 - 12,30,TBA,TBA,,Louis Nelson
238,ARAH,8998,18580,017,IND,1 - 12,30,TBA,TBA,,Giulia Paoletti
239,ARAH,8998,11236,018,IND,1 - 12,30,TBA,TBA,,Louis Nelson
240,ARAH,8998,11237,019,IND,1 - 12,30,TBA,TBA,,Eric Ramirez-Weaver
241,ARAH,8998,11238,020,IND,1 - 12,30,TBA,TBA,,Eric Ramirez-Weaver
242,ARAH,8998,11239,022,IND,1 - 12,30,TBA,TBA,,Lisa Reilly
243,ARAH,8998,12113,023,IND,1 - 12,30,TBA,TBA,,Foteini Kondyli
244,ARAH,8998,11240,024,IND,1 - 12,30,TBA,TBA,,Elizabeth Turner
245,ARAH,8998,11241,025,IND,1 - 12,30,TBA,TBA,,Henry Skerritt
246,ARAH,8998,11242,026,IND,1 - 12,30,TBA,TBA,,Christa Robbins
247,ARAH,8998,12114,027,IND,1 - 12,30,TBA,TBA,,Tyler Jo Smith
248,ARAH,8998,12115,028,IND,1 - 12,30,TBA,TBA,,Elizabeth Turner
249,ARAH,8998,12192,029,IND,1 - 12,30,TBA,TBA,,Richard Wilson
250,ARAH,8998,12291,30,IND,1 - 12,30,TBA,TBA,,Dorothy Wong
251,ARAH,8999,18581,001,IND,1 - 12,30,TBA,TBA,,Sarah Betzer
252,ARAH,8999,18582,002,IND,1 - 12,30,TBA,TBA,,Sheila Crane
253,ARAH,8999,18583,003,IND,1 - 12,30,TBA,TBA,,Anastasia Dakouri-Hild
254,ARAH,8999,11202,004,IND,1 - 12,30,TBA,TBA,,Sarah Betzer
255,ARAH,8999,18584,005,IND,1 - 12,30,TBA,TBA,,Daniel Ehnbom
256,ARAH,8999,18585,006,IND,1 - 12,30,TBA,TBA,,Francesca Fiorani
257,ARAH,8999,11203,007,IND,1 - 12,30,TBA,TBA,,Sheila Crane
258,ARAH,8999,11204,008,IND,1 - 12,30,TBA,TBA,,Anastasia Dakouri-Hild
259,ARAH,8999,11205,009,IND,1 - 12,30,TBA,TBA,,John Dobbins
260,ARAH,8999,11206,010,IND,1 - 12,30,TBA,TBA,,Daniel Ehnbom
