,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Lecture_Num
115,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12132,130,Laboratory,0,24,Chemistry Bldg Room 326,Israel Agorsor+1,1400,1630,4,436
116,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12133,131,Laboratory,0,24,Chemistry Bldg Room 328,Hanna Makowski+1,1400,1630,4,436
117,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12134,132,Laboratory,0,24,Chemistry Bldg Room 324,Jessamyn Manson+1,1730,2000,4,436
118,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12191,133,Laboratory,0,24,Chemistry Bldg Room 326,Israel Agorsor+1,1730,2000,4,436
119,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12199,134,Laboratory,0,24,Chemistry Bldg Room 328,Jessamyn Manson+1,1730,2000,4,436
120,BIOL,3040,Developmental and Regenerative Biology,18302,101,Discussion,0,99,Wilson Hall 325,Sarah Kucenas,1700,1900,1,440
121,BIOL,3270,General Microbiology with Laboratory,12372,101,Laboratory,0,16,Chemistry Bldg Room 334,Audrey Brown+1,900,1200,2,444
122,BIOL,3270,General Microbiology with Laboratory,12373,102,Laboratory,0,16,Chemistry Bldg Room 426,David Kittlesen+1,900,1200,2,444
123,BIOL,3270,General Microbiology with Laboratory,12374,103,Laboratory,0,16,Chemistry Bldg Room 334,David Kittlesen+1,900,1200,1,444
124,BIOL,3270,General Microbiology with Laboratory,12375,105,Laboratory,0,16,Chemistry Bldg Room 334,Audrey Brown+1,1400,1700,2,444
125,BIOL,3270,General Microbiology with Laboratory,12376,106,Laboratory,0,16,Chemistry Bldg Room 426,David Kittlesen+1,1400,1700,2,444
126,BIOL,3270,General Microbiology with Laboratory,12377,107,Laboratory,0,16,Chemistry Bldg Room 334,David Kittlesen+1,1400,1700,3,444
127,BIOL,3270,General Microbiology with Laboratory,12378,108,Laboratory,0,16,Chemistry Bldg Room 426,David Kittlesen+1,1400,1700,3,444
128,BIOL,3270,General Microbiology with Laboratory,12379,109,Laboratory,0,16,Chemistry Bldg Room 426,David Kittlesen+1,1400,1700,1,444
129,BIOL,3270,General Microbiology with Laboratory,12380,110,Laboratory,0,16,Chemistry Bldg Room 426,David Kittlesen+1,900,1200,1,444
130,BIOL,3270,General Microbiology with Laboratory,12381,111,Laboratory,0,16,Chemistry Bldg Room 334,Audrey Brown+1,1400,1700,1,444
131,BIOL,3420,Human Anatomy and Physiology II,12139,103,Laboratory,0,20,Chemistry Bldg Room 246,Mark Kopeny,1400,1700,1,445
132,BIOL,3420,Human Anatomy and Physiology II,12355,104,Laboratory,0,20,Chemistry Bldg Room 248,Mark Kopeny,1400,1700,1,445
133,BIOL,3420,Human Anatomy and Physiology II,12140,105,Laboratory,0,20,Chemistry Bldg Room 246,Mark Kopeny,1800,2100,1,445
134,BIOL,3420,Human Anatomy and Physiology II,12141,106,Laboratory,0,20,Chemistry Bldg Room 248,Mark Kopeny,1800,2100,1,445
135,BIOL,3420,Human Anatomy and Physiology II,12359,108,Laboratory,0,20,Chemistry Bldg Room 248,Mark Kopeny,900,1200,2,445
136,BIOL,3420,Human Anatomy and Physiology II,12142,109,Laboratory,0,20,Chemistry Bldg Room 246,Mark Kopeny,1800,2100,2,445
137,BIOL,3420,Human Anatomy and Physiology II,12143,113,Laboratory,0,20,Chemistry Bldg Room 246,Mark Kopeny,1400,1700,3,445
138,BIOL,3420,Human Anatomy and Physiology II,12358,114,Laboratory,0,20,Chemistry Bldg Room 248,Mark Kopeny,1400,1700,3,445
139,BIOL,3420,Human Anatomy and Physiology II,12144,115,Laboratory,0,20,Chemistry Bldg Room 246,Mark Kopeny,1800,2100,3,445
140,BIOL,3420,Human Anatomy and Physiology II,12357,118,Laboratory,0,20,Chemistry Bldg Room 248,Mark Kopeny,900,1200,4,445
141,BIOL,3420,Human Anatomy and Physiology II,12145,119,Laboratory,0,20,Chemistry Bldg Room 246,Mark Kopeny,1800,2100,4,445
142,BIOL,4005,Functional Genomics Laboratory: Disease Mechanisms & Cures,12519,1,Laboratory,3,16,Chemistry Bldg Room 244,Eyleen O'Rourke+1,1430,1520,1,445
143,BIOL,4040,Laboratory in Cell Biology,12521,101,Laboratory,3,22,Chemistry Bldg Room 334,George Bloom,1500,1800,4,446
144,BIOL,4040,Laboratory in Cell Biology,12522,102,Laboratory,3,22,Chemistry Bldg Room 426,George Bloom,1500,1800,4,446
145,CHEM,1420,Introductory College Chemistry II,10063,101,Discussion,0,140,Gilmer Hall 190,Lisa Morkowchuk,1800,1930,1,608
146,CHEM,1420,Introductory College Chemistry II,12414,102,Discussion,0,140,Gilmer Hall 190,Lisa Morkowchuk,1945,2115,1,608
147,CHEM,1420,Introductory College Chemistry II,12415,103,Discussion,0,140,Gilmer Hall 190,Lisa Morkowchuk,1800,1930,2,608
148,CHEM,1420,Introductory College Chemistry II,10064,104,Discussion,0,140,Gilmer Hall 190,Lisa Morkowchuk,1945,2115,2,608
149,CHEM,1421,Introductory College Chemistry II Laboratory,10801,1,Laboratory,1,24,Chemistry Bldg Room 338,Lisa Morkowchuk,1400,1700,1,614
150,CHEM,1421,Introductory College Chemistry II Laboratory,10802,2,Laboratory,1,24,Chemistry Bldg 344,Lisa Morkowchuk,1400,1700,1,614
151,CHEM,1421,Introductory College Chemistry II Laboratory,10803,3,Laboratory,1,24,Chemistry Blds Room 346,Lisa Morkowchuk,1400,1700,1,614
152,CHEM,1421,Introductory College Chemistry II Laboratory,10804,4,Laboratory,1,24,Chemistry Bldg Room 354,Lisa Morkowchuk,1400,1700,1,614
153,CHEM,1421,Introductory College Chemistry II Laboratory,10805,5,Laboratory,1,24,Chemistry Building Room 358,Lisa Morkowchuk,1400,1700,1,614
154,CHEM,1421,Introductory College Chemistry II Laboratory,11657,7,Laboratory,1,24,Chemistry Bldg Room 338,Lisa Morkowchuk,900,1200,2,614
155,CHEM,1421,Introductory College Chemistry II Laboratory,11655,8,Laboratory,1,24,Chemistry Bldg 344,Lisa Morkowchuk,900,1200,2,614
156,CHEM,1421,Introductory College Chemistry II Laboratory,10806,9,Laboratory,1,24,Chemistry Blds Room 346,Lisa Morkowchuk,900,1200,2,614
157,CHEM,1421,Introductory College Chemistry II Laboratory,10807,10,Laboratory,1,24,Chemistry Bldg Room 354,Lisa Morkowchuk,900,1200,2,614
158,CHEM,1421,Introductory College Chemistry II Laboratory,10808,11,Laboratory,1,24,Chemistry Building Room 358,Lisa Morkowchuk,900,1200,2,614
159,CHEM,1421,Introductory College Chemistry II Laboratory,10809,13,Laboratory,1,24,Chemistry Bldg Room 338,Lisa Morkowchuk,1400,1700,2,614
160,CHEM,1421,Introductory College Chemistry II Laboratory,10810,14,Laboratory,1,24,Chemistry Bldg 344,Lisa Morkowchuk,1400,1700,2,614
161,CHEM,1421,Introductory College Chemistry II Laboratory,10811,15,Laboratory,1,24,Chemistry Blds Room 346,Lisa Morkowchuk,1400,1700,2,614
162,CHEM,1421,Introductory College Chemistry II Laboratory,10812,16,Laboratory,1,24,Chemistry Bldg Room 354,Lisa Morkowchuk,1400,1700,2,614
163,CHEM,1421,Introductory College Chemistry II Laboratory,10813,17,Laboratory,1,24,Chemistry Building Room 358,Lisa Morkowchuk,1400,1700,2,614
164,CHEM,1421,Introductory College Chemistry II Laboratory,10814,18,Laboratory,1,24,Chemistry Bldg Room 338,Lisa Morkowchuk,900,1200,3,614
165,CHEM,1421,Introductory College Chemistry II Laboratory,10815,19,Laboratory,1,24,Chemistry Bldg 344,Lisa Morkowchuk,900,1200,3,614
166,CHEM,1421,Introductory College Chemistry II Laboratory,10816,20,Laboratory,1,24,Chemistry Blds Room 346,Lisa Morkowchuk,900,1200,3,614
167,CHEM,1421,Introductory College Chemistry II Laboratory,10817,21,Laboratory,1,20,Chemistry Bldg Room 354,Lisa Morkowchuk,900,1200,3,614
168,CHEM,1421,Introductory College Chemistry II Laboratory,10818,22,Laboratory,1,0,Chemistry Building Room 358,Lisa Morkowchuk,900,1200,3,614
169,CHEM,1421,Introductory College Chemistry II Laboratory,10819,25,Laboratory,1,24,Chemistry Bldg Room 338,Lisa Morkowchuk,1400,1700,3,614
170,CHEM,1421,Introductory College Chemistry II Laboratory,10820,26,Laboratory,1,24,Chemistry Bldg 344,Lisa Morkowchuk,1400,1700,3,614
