,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Discussion_Lab_Nums
1189,ENWR,1520,Writing and Critical Inquiry: Community Engagement,19381,2,SEM,3,18,New Cabell Hall 211,Sarah Stephenson,1400,1515,"2, 4",None
1190,ENWR,2510,Advanced Writing Seminar,12605,1,SEM,3,16,Cocke Hall 101,Charity Fowler,1100,1215,"2, 4",None
1191,ENWR,2510,Advanced Writing Seminar,13610,2,SEM,3,16,New Cabell Hall 187,T. Kenny Fountain,1700,1815,"1, 3",None
1192,ENWR,2510,Advanced Writing Seminar,12606,3,SEM,3,16,Bryan Hall 312,Kevin Smith,1400,1515,"1, 3",None
1193,ENWR,2510,Advanced Writing Seminar,12828,5,SEM,3,16,Bryan Hall 312,Kevin Smith,1530,1645,"1, 3",None
1194,ENWR,2510,Advanced Writing Seminar,19382,6,SEM,3,18,New Cabell Hall 036,Stephen Parks,1800,2030,1,None
1195,ENWR,2520,Special Topics in Writing,19383,1,SEM,3,16,Bryan Hall 203,Patricia Sullivan,1530,1645,"1, 3",None
1196,ENWR,2520,Special Topics in Writing,13628,7,SEM,3,12,Bryan Hall 310,Sarah O'Brien,1530,1645,"1, 3",None
1197,ENWR,2520,Special Topics in Writing,13629,9,SEM,3,12,Bryan Hall 332,Kiera Allison,1300,1350,"1, 3, 5",None
1198,ENWR,2520,Special Topics in Writing,17909,10,SEM,3,16,New Cabell Hall 283,Kate Kostelnik,1530,1645,"2, 4",None
1199,ENWR,2700,News Writing,11869,1,Lecture,3,16,Bryan Hall 203,Charles Kelly,800,915,"2, 4",None
1200,ENWR,2700,News Writing,11870,2,Lecture,3,16,Bryan Hall 203,Charles Kelly,930,1045,"2, 4",None
1201,ENWR,2800,Public Speaking,13191,1,SEM,3,16,Bryan Hall 312,Kiera Allison,900,950,"1, 3, 5",None
1202,ENWR,2800,Public Speaking,13192,2,SEM,3,16,Bryan Hall 312,Kiera Allison,1000,1050,"1, 3, 5",None
1203,ENWR,2800,Public Speaking,13193,3,SEM,3,12,Shannon House 108,Megan Haury,1100,1215,"2, 4",None
1204,ENWR,3500,Topics in Advanced Academic Writing,13611,1,WKS,3,15,New Cabell Hall 042,Tamika Carey,1230,1345,"2, 4",None
1205,ENWR,3500,Topics in Advanced Academic Writing,19379,2,WKS,3,16,Shannon House 107,Cory Shaman+1,930,1045,"2, 4",None
1206,ENWR,3660,Travel Writing,13622,1,SEM,3,16,New Cabell Hall 489,Sarah Stephenson,930,1045,"2, 4",None
1207,ENWR,3900,Career-Based Writing and Rhetoric,19458,1,Lecture,3,16,Ruffner Hall 125,John Casteen,1400,1515,"1, 3",None
1208,EVAT,5320,Mountain Meteorology,18328,1,Lecture,3,40,Clark Hall 101,Stephan De Wekker,1100,1215,"2, 4",None
1209,EVAT,7559,New Course in Atmospheric Sciences,18330,1,Lecture,3,30,Clark Hall G004,Kevin Grise,1200,1250,"1, 3, 5",None
1210,EVEC,7170,Spatial Ecology,18333,1,Lecture,3,24,Clark Hall 101,Max Castorani,1230,1345,"2, 4",None
1211,EVEC,7559,New Course in Ecology,19580,1,Lecture,3,30,Memorial Gymnasium 211,Claire Griffin,930,1045,"2, 4",None
1212,EVGE,5860,Isotope Geochemistry,10613,100,Lecture,4,25,Clark Hall G004,Stephen Macko,1100,1150,"1, 3, 5",463
1213,EVHY,5700,Forest Hydrology,18331,100,Lecture,4,20,Gilmer Hall 225,Lawrence Band,1100,1215,"2, 4",464
1214,EVSC,1010,Introduction to Environmental Sciences,10165,1,Lecture,3,300,Maury Hall 209,Thomas Smith,1400,1515,"2, 4",None
1215,EVSC,1020,Practical Concepts in Environmental Sciences,10166,1,Lecture,1,14,Clark Hall 201,Linda Blum,1300,1350,1,None
